POI_INDEX,TOTAL_REVIEWS,ABOUT_SUMMARY,RANKING,TICKET_INFO,RATES,ADDRESS,PHONE,WEBSITE,TRANSPORTATION_MODE,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
107,8,新加坡旧火车站位于新加坡丹戎巴葛，是曾经新加坡往来马来西亚、泰国的火车站。其设计在当时建筑界可谓独树一帜，设计师伯特必次(D.S. Petrovich)的灵感来自芬兰的赫尔辛基火车站。火车站的外墙以钢筋水泥建造，正面墙上的四尊大理石雕像分别代表农业、商业、交通和工业。火车站离港口(Keppel Harbour)不远，当初选址在此也是这个原因，既能方便运输货物，也方便下船的乘客转换火车。,108,None,8.0,30 Keppel Road，Singapore 089059,Not Available,https://www.ura.gov.sg/railcorridor/history.html,乘坐公交10、30、57、80、97、97e、100、131、145在Former Railway Station下车。,自2月20日起，每逢公共假期这里就会对公众开放，9:00-18:00。,2020-01-28 14:12:31.897342
108,9,这是新加坡国家图书馆，这里有很多种类的书籍可以看，这里的环境很舒适,109,None,8.4,"100 Victoria Street,Singapore188064,Singapore",+65 6332 3255,Not Available,Not Available,Not Available,2020-01-28 14:12:41.285937
109,10,城市发展局下属的新加坡城市画廊，让人们见识了政府一直以来坚持兴建高楼、改造土地的政策。这里不仅展示了新加坡过去40年来的变迁，同时也介绍了新加坡的未来规划。馆内的亮点包括一个11m*11m成比例的城市模型、一个名为“了解新加坡”的视听展览和一个设于屋顶、鸟瞰地面的照相机。那些我们熟悉的新加坡地标、或者是平凡的街头巷尾，都能在城市模型里看到，展现出一排排的人生写意。兴致盎然地寻找着走过的地方，感觉到更加亲近了新加坡，也更加了解这里的生活。而画廊里展示的老照片和视听展览，都能明白新加坡的历史演绎，让人感受到城市的发展和希望。,110,免费。,7.0,45 Maxwell Road，Singapore,+65-63218321,http://www.ura.gov.sg/uol/citygallery,近地铁绿线丹戎巴葛站。,周一至周六9:00-17:00，周日、公众假日闭馆。,2020-01-28 14:12:48.207301
110,14,十九世纪中叶被开垦，按照当时欧洲和中国的建筑风格建造，也是新加坡著名的港口之一。,111,免费,7.3,"Singapore River, Singapore 237995",Not Available,Not Available,可坐公交64/123/186到River View Hotel站，下车后过河岸即是。,全天,2020-01-28 14:12:55.193575
111,9,"樟宜海滨公园是新加坡最古老的海滨公园之一，保留着新加坡六七十年代的印记。公园大概大约3.3公里长，呈线性。由于靠近机场的原因，当人们躺在沙滩上，可以看到一架架飞机从头顶划过，这也正是来这片海滩游玩的特别之处。同时，樟宜海滨公园也是新加坡当地人度假的好地方。公园里包括自动饮水器、草坪、二战纪念牌匾、沙子玩耍区域、滑板和自行车亭、洗手间、淋浴设施,操场、慢跑跑道、餐厅、咖啡厅、儿童的游戏设备以及烧烤坑等。",112,None,7.3,Along Nicoll Drive and Changi Coast Road,Not Available,Not Available,在淡宾尼搭乘新巴SBS29号公共汽车至樟宜村(Changi Village)公共汽车站。,Not Available,2020-01-28 14:13:08.629676
112,14,这里原本是中国同盟会于东南亚的分会总部，原名晚晴园，取自唐代诗人李商隐的名句：夕阳伶芳草，人间爱晚晴。这里是为了纪念推翻清朝统治的革命活动，两层展厅中所展出的那些图片和文字，较详实的介绍了当年同盟会在新加坡的活动，以及孙中山在南洋募款、演讲的一些情况。,113,成人票价3新币,7.4,12 Tai Gin Road Singapore 327874,006562567377,http://www.wanqingyuan.org.sg,坐MRT到NS19 Toa Payoh 出站向南过河。,周二到周日 9:00-17:00,2020-01-28 14:13:15.120447
113,11,从樟宜机场出来，许多人会路过东海岸快速公路（ECP）进入新加坡市区，这条快速公路始建于1981年，公路两侧为高层住宅和美丽的东海岸公园，让刚从机场出来的人们立即感受到了新加坡的美景，从2015年第三季度开始，这条公路将变得更加美丽，这段3.4公里的路段，将被漂亮的灯光布置一新，让通过这里的不管是旅客也好，当地人也好，都能感觉像进入梦幻世界一般，到新加坡游客，有机会的话要留意一下哦。,114,None,7.8,Airport Boulevard Singapore,Not Available,Not Available,樟宜机场出来即到。,Not Available,2020-01-28 14:13:29.807108
114,8,坐落于小印度的繁华闹区中，是华人富商陈东龄在1900年为其妻子建造的中式别墅。前方是有五脚基骑楼有一栋，外墙色彩缤纷，1991年曾获新加坡建筑师协会颁赠的奖项。,115,None,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,2020-01-28 14:13:44.631482
115,10,道路两侧有保存完整地土生华人洋房，每栋建筑都非常精致，融合了马来、中国与欧洲的建筑特色。而且每一栋都有不同的颜色和各自的特点，连瓷砖都值得仔细看看。,116,免费,8.0,Not Available,Not Available,Not Available,Not Available,全天。因为房子很多都有人住的，所以只能看外观。当然房屋主人邀请入内除外。,2020-01-28 14:13:50.690237
116,3,建筑师：ARC Studio,117,新加坡交通卡6新元参观费,10.0,"1 Cantonment Rd, 新加坡 080001",Not Available,Not Available,MRT Tanjong Pagar,9.00am – 10.00pm,2020-01-28 14:14:00.527047
117,4,"这里是一个野生风景区，整片地区是那样的完美,一点垃圾都没有,在开阔的绿茵下可以随意地走走跑跑,小径全长10千米。还有两个健身区。",118,Fee: No,9.0,"MacRitchie Reservoir Park,Singapore298717,Singapore",Not Available,Not Available,Not Available,Not Available,2020-01-28 14:14:07.876923
118,9,"一张门票，三种不同体验。
",119,成人39新币，60岁以上老人30新币，儿童29新币,7.6,"40 Imbiah Road ,Sentosa Island ,Singapore",+65-6715-4000,http://www.madametussauds.com/Singapore,乘坐圣淘沙捷运，在英比奥(Imbiah)下车，按指示标识步行10分钟即可。,周一至周五10:00-19:30(最后入场时间18:00)，周六、周日和公众假期10:00-21:00(最后入场时间晚上19:30),2020-01-28 14:14:17.027871
119,1,圣母圣诞堂位于新加坡东北社区的后港的实龙岗路上段，是潮州人社区于1901年建立的天主教堂。同时也是新加坡的国家古迹之一。,120,None,8.0,1259 Upper Serangoon Rd，新加坡 534795,+65 6280 0980,http://www.nativity.sg,Not Available,"周一至周五09:00–12:00, 13:00–20:00，周六至周日09:00–12:00",2020-01-28 14:14:25.525745
120,7,是新加坡最古老的道教寺庙，名字的含义是风平浪静的寺庙。粤海清庙建于1826年，最初由潮州籍人士合资创建，以潮州建筑的风格和传统形式建成。经历了超过185年的历史，该庙已发展成今天新加坡著名庙宇之一。,121,None,8.0,"30B Phillip St, Singapore 048696",006565338537,Not Available,坐MRT到EW14/NS26 Raffles Place，出站后向西走约10分钟。,每天06:00-18:00,2020-01-28 14:14:33.369409
121,6,这里是一个自然公园，有很多植被可以观看，迪斯尼式的风格，比较适合孩子。,122,None,8.3,"18 Marina Gardens Drive,Singapore018953,Singapore",+65 6420 6848,Not Available,Not Available,Not Available,2020-01-28 14:14:41.219702
122,9,从交互式画廊展览中迷人的画面展开这段探索之旅，它可以提高您的科学分析技巧。 观察、分类、对比和推断。 掌握了这些技巧之后，前往丛林中探索各种鸟类、昆虫和其它野生动植物。,123,免费,6.9,"Imbiah Lookout, Sentosa, Singapore",Not Available,Not Available,圣淘沙捷运：英比奥站。,9:00-17:00,2020-01-28 14:14:50.138816
123,11,这里展示了许多1910年-1970年代中国（尤其是上海）生产的玩具，比如铁皮青蛙、阿童木、木鸭子等，让人一下子就能回忆起美丽的童年时光，参观完毕你还可以在纪念品店里买些小纪念品。,124,成人8新币，儿童5新币。,7.5,"83 Rowell Road, Singapore 208015",006562947747,http://shanghaitoys.wordpress.com/,坐MRT到NE7 Little India，向东北方向走约15分钟可找到。,Not Available,2020-01-28 14:14:57.860281
124,5,新加坡非常著名的游艇俱乐部之一，也是注册会员最多的游艇俱乐部之一，在这里能观赏到很多世界级的游艇。,125,None,7.6,10 Tuas West Drive  Singapore 638404,006568618000,http://www.rafflesmarina.com.sg,公交巴士：192，193，Opp Raffles Marina站,需要提前预约·,2020-01-28 14:15:12.790274
125,5,"新加坡中华总商会成立于1906年，是新加坡历史悠久的商业团体。总商会不但是本地华商华社的最高领导机构，在国际商业舞台上享有良好的信誉，同时也是世界华商大会的创办机构，并拥有广泛联系世界各地华人企业的商业资讯网站 “世界华商网络”  。在维护新加坡商家利益、推动国内外商贸、教育、文化与社区发展各个方面，都扮演着积极和重要的角色。总商会于1995年荣获ISO 9001:2000国际标准证书，不断为会员提供国际水准的优质服务。2009年，总商会通过国际标准组织的审核，获颁ISO 9001:2008国际标准证书。
",126,None,7.6,"47 Hill Street, 新加坡",+65-6337-8381,http://www.sccci.org.sg,地铁City Hall站或百盛楼往Clarke Quay方向走。,Not Available,2020-01-28 14:15:22.234239
126,9,这里即是一座博物馆，也算是一座科学馆，甚至还可看作是一间艺术画廊。在这里你会通过各种互动方式了解到新加坡的发展历史，是一个很棒的寓教于乐之地。,127,成人票 10 新元,8.0,510 Upper Jurong Road Singapore 638365,006567926188,http://www.sdc.com.sg,坐MRT到EW29 Joo Koon站，向北走五分钟即是。,周二至周日  9:00-18:00,2020-01-28 14:15:28.544159
127,1,Not Available,128,None,8.0,"Orchard Rd, Singapore",+65-67331700,Not Available,Not Available,Not Available,2020-01-28 14:15:35.652533
128,8,与著名的乌节路相连，这里有很多较高档小资的餐厅，以及非常有个性的咖啡馆。如果你打算在新加坡饮几杯好酒，这里会有不少不错的酒馆供你选择。,129,None,8.5,Cuppage Rd,Not Available,Not Available,MRT Somerset站下车后向北步行前往。,Not Available,2020-01-28 14:15:44.522603
129,4,登布西山是殖民时期英国军营的所在地，如今已成功地被改造为最时尚的休闲场所。这里距离乌节路不远，但宁静优雅、与喧嚣隔离，能够享受到一分安宁，悠然自得。登布西山有世界各地的风味餐厅、酒吧，让人大快朵颐；也有美术画廊、现代美术馆(MOCA@Loewen)，被艺术氛围熏陶着；还有服饰店、精品超市、古董家具店铺，潮人们总是蜂拥而至。,130,None,8.5,8 Dempsey Rd Singapore 249679,Not Available,http://www.dempseyhill.com,从乌节路坐公交7路、106路、123路、174路，在CSCDempsey Clubhse下车，步行8分钟即可。,Not Available,2020-01-28 14:15:52.395715
130,2,Not Available,131,None,9.0,"MacRitchie Reservoir Park(thomson road,PIE)",Not Available,Not Available,地铁Marymount站,Not Available,2020-01-28 14:15:59.905499
131,4,身段矫捷、精灵可爱，印度太平洋樽鼻海豚不愧是海洋中最令人心神向往的哺乳动物之一。快来亲身一会这优雅迷人的海洋宝贝！海豚园特别推出一系列体验式项目，为您制造难得机会，让您实现与美丽海豚亲密接触的梦想。我们的项目都经过巧思设计，能让您与海豚近距离互动交流，打造专属的难忘体验。与此同时，项目更着重于透过‘投入式学习’，引领宾客走入海洋世界，进一步认识奥妙无限的海洋生物，以及深入探索海豚的种种。我们的海洋哺乳动物培训员及主持人将借此与您分享与海豚有关的知识，包括它们的栖息地、食物、身体构造及迁移模式。此外，海豚园在海洋研究及海豚的日常护养方面作出了许多努力。我们也将一一与您分享这背后的点点滴滴，借此开启您将对海豚保育及保护的概念。我们期待，与您携手打造一个永续生存的海洋环境。今天就来与海豚互动及学习吧！,12,None,9.5,"Dolphin Island,8 Sentosa Gateway,Sentosa Island",+65-6577-8888,http://www.rwsentosa.com/language/zh-CN/Homepage/Attractions/DolphinIsland,Not Available,周一至周日：10:00-18:00,2020-01-28 14:16:07.943974
132,1,Not Available,132,None,10.0,Mount Faber Road(Near Sentosa Island),+65-62708855,Not Available,地铁黄线、紫线 港湾站(HarbourFront),08:45-22:00,2020-01-28 14:16:15.924949
133,1,新加坡国立大学University Town一处小山丘上保存的两段柏林墙残段，值得没去过柏林参观过柏林墙的朋友们看看，缅怀历史。,133,无,10.0,"36 College Ave E, Singapore 139105",Not Available,Not Available,NUS内搭乘免费校车可达,全天,2020-01-28 14:16:24.264140
134,2,新加坡科技设计大学（Singapore University of Technology and Design，简称SUTD），是新加坡共和国的第四所公立大学，同美国麻省理工学院和中国浙江大学合作办学，于2012年正式开学。新加坡科技设计大学是世界上第一所集设计与创新于研究与工程中的大学。,134,None,9.0,"8 Somapah Rd, Building 1, Singapore 487372",Not Available,Not Available,Not Available,Not Available,2020-01-28 14:16:30.639876
135,2,建筑师：WOHA,135,None,10.0,"1 Zubir Said Dr, 新加坡 227968",Not Available,Not Available,Mrt Dhoby Ghau,Not Available,2020-01-28 14:16:37.033430
136,3,圣若瑟堂（Saint Joseph's Church）是新加坡一座罗马天主教教堂，位于新加坡中区的中央商务区内的维多利亚街。该教堂由葡萄牙传教会兴建于1851年到1853年，1906年坍塌后重建，到1912年完成，哥特式风格。,136,免费,7.3,"143 Victoria Street, 新加坡 188020",+65 6338 3167,http://stjoseph-bt.org.sg,近黄线百胜站,Not Available,2020-01-28 14:16:46.121202
137,7,位于大巴窑的莲山双林寺是一座相当典型的中国寺庙，占地约四万平米，最初由富有的福建华商刘金榜所有。这位虔诚的佛教徒因梦启发，得遇贤惠法师一家出家人，他因而捐出土地用于修建寺庙。,137,免费,7.7,184E Jalan Toa Payoh Singapore 319941,+65 6259 6924,http://www.shuanglin.sg,坐MRT到NS19 Toa Payoh ，出站后向东走约5分钟。,一般从8:00-20:00,2020-01-28 14:16:53.244887
138,9,这座俱乐部坐落在一间于1927年修建的老式发电厂里，是新加坡规模最大的夜间娱乐场所。圣詹姆士发电厂拥有十个各不相同又相互联系的场地，设有卡拉OK(Mono)、爵士(the Bellini Room)、华语流行(Dragonfly)、电子音乐(Power House)以及疯客音乐等各种厅。这里还设有专门的体育酒吧、休息场地，在户外区域，您还可以感受温柔的海风吹拂。,15,约30-80新加坡元,7.3,3 Sentosa Gateway，Singapore 098544,+65 9727 9749,http://www.rupeestjames.club,地铁紫线、黄线，港湾站(HarbourFront)。,一般都是从晚上9点开放到次日凌晨3-5点，或者是到最后一位客人离开便打烊。,2020-01-28 14:17:03.560895
139,3,"榜鹅附近的科尼岛公园（Coney Island Park）位于新加坡东北部，临Punggol end,于2015年10月正式对外开放。面积45公顷，科尼岛的环境静谧，保留了新加坡本岛上看不到的原始自然面貌，该岛将是一个拥有沼泽森林，能够观鸟、骑脚踏车，且不准汽车驶入的原始自然公园。岛上丰富的自然生态也吸引了约80种鸟类出没，包括较罕见的锈胸丛杜鹃（Rusty-breasted Cuckoo ）和点斑林鸮（Spotted Wood Owl）。附近有榜鹅水道、榜鹅沙滩，海鲜酒楼，可租自行车沿岛骑行。",1,免费,8.7,Not Available,Not Available,https://uberpromocode2016.wordpress.com/tag/coney-island/,"Punggol MRT , 搭乘84路巴士 5分钟左右，到Punggol Point Park（榜鹅码头）下车，沿滨海步行长廊向右500米即到。",07:00-19:00,2020-01-28 14:17:11.761434
140,14,"位于新加坡的西南部。面向实龙岗海港(Serangoon harbour)连绵约3公里的海岸。海岸部分有沼泽园、探幽乐园、观赏岩、食堂、盥洗室及鸟类栖息林等，但不允许海浴。内陆部分有建身园、障碍脚踏车道、两个帐篷露营区、观鸟园、鸟类栖息林及一个面积约10,000平方米的池塘等。",138,免费开放。,6.7,West Coast Park，Singapore,Not Available,http://www.nparks.gov.sg,坐公交车176路到Opp West Coast Link。,6:00-21:00。,2020-01-28 14:17:21.133751
141,8,位于新加坡亚历山大路上，南部山脊线上连接高架步道和园艺园林的桥。拱桥长80公尺，宽4公尺。它的特点在于其独特及富挑战性的结构——弧形的桥身和倾斜的拱架对开，就好像亚历山大路上的一片巨型叶子。桥身和拱架也互相支撑对方的重量，让看似倒向一边的拱桥不动如山地矗立在亚历山大路上。晚上7时到午夜12时，拱桥还会呈现由4种颜色互相搭配的百变灯光效果，就像夜里与月亮争辉的彩虹。,139,免费,7.3,Not Available,Not Available,Not Available,Not Available,Not Available,2020-01-28 14:17:37.335793
142,10,达豪施纪念碑 (Dalhousie Obelisk) 是为纪念达豪施侯爵第二次访问新加坡而建造的。现已成为重要建筑地标，其高度和针形的建筑结构隐隐透露出英式的建筑气息，因此有人认为这种设计灵感源于伦敦泰晤士河畔的“克丽欧佩特拉方尖塔” ( Cleopatra's Needle)，四个装饰巅峰灯环绕各个角落，也是十分适合拍照留念的地点。,140,免费。,7.2,1 Empress Place，Singapore,Not Available,Not Available,坐MRT到EW14/NS26 Raffles Place，出站向北走过桥约15分钟可到。,全天。,2020-01-28 14:17:45.189410
143,10,新加坡拉萨尔艺术学院（La Salle College of the Arts，La Salle）于1984年由De La Salle修士麦纳利（Brother Joseph McNally）创立。新加坡拉萨尔艺术学院是一所综合性艺术院校，以强调创意的独特教学理念和强调完整学术创意的途径为新加坡提供多方面和高质量的艺术教育，教学上注重理论和实践相结合。新加坡拉萨尔艺术学院是被新加坡政府批准给予公立理工学院同等地位的两所私立学院之一，得到新加坡教育部的财政资助。2004年3月，新加坡拉萨尔艺术学院成为英国最大的大学-公开大学（Open University）的鉴定学院。,141,None,7.6,"1 McNally Street, Singapore 187940",Not Available,Not Available,Not Available,Not Available,2020-01-28 14:17:52.550505
144,7,如果你是个军事迷，在这里你可以体验到UH1H的俯冲气流，M114炮弹的强大爆炸威力以及AMX13 SM1坦克的打击力。在户外场地则有一些武器装备和训练场地。,142,成人票：5 新元,7.1,520 Upper Jurong Rd Singapore 638367,006566680338,http://www.armymuseum.sg,坐MRT到EW29   Joo Koon 出站后向北走。,周二至周日10:00-18:00,2020-01-28 14:18:00.250733
145,4,"原来的基督教青年会大楼（现已拆除，并在原址上建立了现在的基督教青年会）曾在日本占领新加坡期间被当作恐怖的日本宪警总部。战后，新加坡政府在多个日军曾进行大屠杀的地方树立了纪念碑。1995 年，原基督教青年会大楼旧址被国家文物局列为新加坡十一座二战遗址之一。
",143,参观免费,7.5,One Orchard Road Singapore 238824,006563366000,http://www.ymca.org.sg/,坐MRT到NS24/NE6/CC1 Dhoby Ghaut 出站向东走约3分钟,Not Available,2020-01-28 14:18:09.332835
146,8,曾经有两个马来兵团在这里英勇抵抗日本侵略者的进攻，今天在这里的一座殖民时期风格的洋楼上，展出了当年英国的一些地图和图片，从侧面反映了那段殖民历史。,144,2新币。,7.8,31-K Pepys Rd Singapore 118458,006563752510,http://www.s1942.org.sg/s1942/bukit _chandu/homepage.htm,坐MRT到CC26  Pasir Panjang 出站后向东北方向走约15分钟。,周二至周日    9:00-17:00,2020-01-28 14:18:18.348166
147,9,建在新加坡国立大学（NUS）内部的这座峇峇住宅，保留了原房屋内的各种装饰，在这儿可以了解到20世纪20年代时土生华人（也被称为海峡华人 Straits Chinese）的生活状态，可以在其中静静的感受那种氛围。三楼还有一个小展厅，有一些与土生华人相关的艺术展品。,145,成人票 – 10 新元,8.2,157 Neil Rd Singapore 088883,Not Available,http://www.nus.edu.sg/museum/baba,坐MRT到EW16/NE3 Outram Park 站。,需要预约参观,2020-01-28 14:18:26.566226
148,1,Goodwood Park Hotel位于乌节路（Orchard Road），散发着宁静的魅力，设有2个游泳池和Spa、6个餐饮场所和免费私人停车场。各处覆盖免费无线网络连接。距离远东广场购物中心（Far East Plaza Shopping Centre）数步之遥，距离乌节地铁站（Orchard MRT Station）约有7分钟步行路程，距离克拉码头和驳船码头的许多夜生活场所有15分钟出租车车程。,146,None,10.0,22 Scotts Road，Singapore 228221,+65 6737 7411,http://www.goodwoodparkhotel.com/default-zh.html,Not Available,Not Available,2020-01-28 14:18:32.914390
149,2,很现代化的档案馆，和国内的理念完全不同，新加坡提倡缩微档案，有兴趣可以参观下，集邮博物馆和亚美尼亚教堂也在附近。,147,None,9.0,"1 Canning Rise, 新加坡",+65-6332-7909,http://www.nhb.gov.sg/,Not Available,Not Available,2020-01-28 14:18:40.018177
150,1,Not Available,148,None,10.0,143 Victoria Street Singapore 188020,+65-63383157,Not Available,Not Available,Not Available,2020-01-28 14:18:48.151542
151,1,圣约翰岛（Saint John’s Island），早期被称为棋樟山（SakijangBendera)，是新加坡南部外海的岛屿，距离新加坡岛大约6.5公里，面积约为40.5公顷。,149,None,6.0,新加坡圣淘沙,Not Available,Not Available,Not Available,Not Available,2020-01-28 14:18:53.906669
152,1,新加坡的综合攀岩馆，馆内有多面先锋墙、顶绳墙，以及多面抱石墙和endurance wall训练墙！,5,S$18,10.0,"100 Guillemard Rd, Singapore 399718",+65 6348 8272,http://onsight.com.sg/,Not Available,周一到周五：11:00 AM - 10:30 PM,2020-01-28 14:19:02.042139
153,1,新加坡本地一个比较有名的回教堂，地理位置不错，比较繁华。有珍藏的古兰经，去的时候会有工作人员展示。,150,None,6.0,"136 Joo Chiat Rd, 新加坡 427419",+65 6345 2884,masjidkhalid.sg,Not Available,Not Available,2020-01-28 14:19:08.971571
154,2,"这是一个很有趣的地方。虽然新加坡降水量很大，但是人均饮水严重短缺，新加坡人利用各种先进的技术完成了薄膜过滤水的科技改造，保证了国民饮水。新加坡人们都以此为傲。
",151,None,8.0,20 Koh Sek Lim Road Singapore,+65-65467874,http://www.pub.gov.sg/water/newater/ visitors/Pages/default.aspx,地铁可达。,Not Available,2020-01-28 14:19:16.435320
155,1,Not Available,152,None,10.0,Not Available,Not Available,Not Available,Not Available,Not Available,2020-01-28 14:19:24.386732
156,5,新国家体育场是50年国庆前刚建成的，临河而建，外观呈弧形，顶盖的打开或关闭需要25分钟，当场馆休息时顶盖将关闭，保持草地球场处于健康状态。每个座位下都有中央空调出风口。这里经常举行演唱会或体育赛事。,2,None,6.8,"1 Stadium Dr, Singapore 397629",+65 6653 8900,http://www.sportshub.com.sg/venues/Pages/national-stadium.aspx,地铁加冷站下车即可看到，需要走20分钟左右,有赛事或演唱会时才开放,2020-01-28 14:19:33.264791
157,1,新加坡爱来魔相艺术馆的3D魔幻艺术空间以地面、墙壁等为媒介，利用平面透视的原理制造出视觉上的虚拟立体效果，利用物理原理让作品给人们的带来视觉上的错觉，带给参观者人画一体、身临其境的惊喜。在这里您可以插上天使的翅膀、乘坐漂流的纸船，变身马戏团里的一员或者是躺入超人的怀抱，满足你多年的梦想。,23,None,6.0,"3 Temasek Boulevard, #03-372 Suntec City Mall Tower 4, Suntec City Mall, Singapore 038983",+65 6734 8298,http://alivemuseum.sg,Not Available,每天10:00-22:00,2020-01-28 14:19:40.026844
158,1,同其他古建筑物一样，陈氏宗祠也被林立的高楼淹没了，它没有现代建筑物的高大，没有靓丽的色彩，但却有着深厚的文化底蕴和悠久的历史。陈氏宗祠是一处清雅、宁静的百年寺庙，是寻幽访古的最佳选择。陈氏宗祠为中国南方寺庙建筑风格，最显著的特色就是屋脊、屋檐的雕刻，刻有花朵、凤凰等。每个门都有门神来辟邪，来保护宗祠的安全，宗祠内部的装饰至今保存完好，特别是香台和0牌匾。,153,None,8.0,15 Magazine Rd,+65 6533 2880,http://www.nhb.gov.sg/,Not Available,Not Available,2020-01-28 14:19:47.708904
159,3,圣伯多禄圣保禄堂的历史与新加坡华人天主教团体的发展有关。该堂兴建于1869年到1870年，服务于操各种中国以及印度方言的信徒。这里也是许多欧洲传教士在前往中国传教之前学习中文的一个中心。,154,免费,6.0,"225A Queen Street, Singapore 188551",+65-63372585,http://www.sppchurch.org.sg/,近黄线百胜站,7:00-19:00,2020-01-28 14:19:53.648698
160,4,露德圣母堂兴建于1888年，是新加坡第一座泰米尔人天主教堂。这是一座新哥特式教堂，有良好的比例和精致的细节，其设计模仿了法国卢尔德的同名教堂。现在，该教堂欢迎各个种族的天主教徒。弥撒用英语、泰米尔语和僧伽罗语举行。2005年1月14日，露德圣母堂列为新加坡国家古迹。,155,免费,7.5,"50 Ophir Road, Singapore 188690",+65-62940624,http://www.lourdes.sg,近绿线、蓝线武吉士站,7:30-23:00,2020-01-28 14:20:00.481743
161,3,皇后坊大厦 (Empress Place Building)，是1890年为了纪念维多利亚女王的统治而建立的，采用新帕拉第奥风格，现在是亚洲文明博物馆 （Asian Civilisations Museum） 的一部分。,156,成人票：8新币，学生票与老年票（60 岁以上）：4新币,6.0,1 Empress Place Singapore 179555,006563322982,http://www.acm.org.sg/home/home.html,可以坐MRT到EW14/NS26 Raffles Place下车,周一13:00-19:00,2020-01-28 14:20:08.018256
162,3,直落亚逸礼拜堂是卫理公会华人教会中历史最悠久的堂会，坐落于华人聚居的地区，是当年卫理公会宣教士卫思德医生首先向南来的华人传福音的基地。直落亚逸礼拜堂建于1889年，于1989年被列入国家古迹。礼拜堂的基本设计具有西方风格：长方形的建筑配以两侧的柱廊。但在礼拜堂前方的平顶屋面上，建筑师则加上一个四面通风的阁楼，屋顶四角微跷，有如中国传统建筑的飞檐跷角。这使到原本具有罗马古扑风味的礼拜堂建筑更加增了中国化的妩媚，也同时引起普遍华侨们的认同感。,157,免费。,6.7,235 Telok Ayer Street，Singapore 068656,+65-63244001,http://www.tacmc.org.sg/,到达绿线丹戎巴葛站下车。,礼拜时间不可以参观。,2020-01-28 14:20:16.195124
163,4,建于1827年的阿尔阿布拉回教堂，最开始只是一间茅草屋，信徒是来自于南印度的丘比亚人，他们是印度回教徒(穆斯林)。1850-1855年之间，阿尔阿布拉回教堂改为印度回教堂特色的砖墙。所以尽管这里也是有新月标志的清真寺，但是与中国西北地区的大寺相比，绝对是完全迥异的建筑风格。,158,免费。,6.0,192 Telok Ayer St，Singapore,+65-62206306,Not Available,近地铁蓝线直落亚逸站。,Not Available,2020-01-28 14:20:23.878020
164,3,这座清真教堂建于1846年，以一位马六甲妇女的名字命名。哈查花蒂玛嫁给一位富裕的巴吉兹平布苏丹，她丈夫去世后，她成功的接管了丈夫的船运公司，成了一位富有的武吉士商人。后来，有人蓄意在她的宅邸处纵火，但她幸而逃生，之后她决定将自己家所在的土地捐赠出去，一座清真寺在此拔地而起。,159,免费参观，但请注意着装。,6.7,4001 Beach Rd Singapore 199584,+65 6297 2774,Not Available,坐MRT到EW11 Lavender下车后向南方向走约10分钟。,8:00-18:00,2020-01-28 14:20:32.547381
165,4,善牧主教座堂是新加坡最古老的罗马天主教教堂，位于四马路、维多利亚街和勿拉士峇沙路之间，建筑模仿了伦敦的科文特花园圣保罗教堂以及圣马田教堂。善牧主教座堂是天主教新加坡总教区的主教座堂，总主教的驻地。,160,免费。,6.5,A Queen Street，Singapore,+65-63372036,http://www.catholic.org.sg/parish_detail.php?OrganisationID=1,近地铁旅行市政厅站、黄线百胜站。,Not Available,2020-01-28 14:20:40.242633
166,1,亚米尼亚教堂（Armenian Church）全名：“亚美尼亚教会圣启蒙者额我略堂”（Armenian Church of Saint Gregory the Illuminator，亚美尼亚语：Սուրբ Գրիգոր Լուսաւորիչի Եկեղեցի – Surb Grigor Lusavorichi Yekeghetsi）是新加坡最古老的基督教教堂，位于新加坡中区的禧街。,161,None,8.0,60 Hill Street，Singapore 179366,+65 6334 0141,https://armeniansinasia.org/,乘搭地铁至政府大厦(City Hall)站(EW13/NS25)，然后步行往禧街(Hill Street),Not Available,2020-01-28 14:20:47.759309
167,1,竹林楼是中正中学的行政楼，于2014年和中正中学的牌坊一起被列为国家古迹。中正中学于1939年创办，最初是一家男校，二战后成为男女混合制学校。,162,None,8.0,50 Goodman Road， Singapore 439012,+65 6344 1393,http://www.chungchenghighmain.moe.edu.sg,Not Available,Not Available,2020-01-28 14:20:54.627607
168,2,这是一个水上公园，这里的环境很舒适宜人，是一个放松心情的好去处,163,None,8.0,"81 Lorong Chencharu|Orto,Singapore769198,Singapore",+(65)62578858,Not Available,Not Available,Not Available,2020-01-28 14:21:03.204943
169,1,这里是滨海步道，非常干净，晚上的风吹着很舒服， 有甜品可以享用，这里还可以休息,164,None,8.0,"Singapore,Singapore",Not Available,Not Available,Not Available,Not Available,2020-01-28 14:21:11.008751
170,2,这是一家博物馆，这里有很多有历史的特色收藏品可以参观,165,None,7.0,"69 Joo Chiat Terrace|Visits Are Strictly by Appointments,Singapore,Singapore",+65 6440 1148,Not Available,Not Available,Not Available,2020-01-28 14:21:20.738798
